changrenchiao,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014/1/29 上午 12:00:00,0.12,0.06,0.05,0.05,0.05,0.09,0.18,0.22,0.22,0.23,0.23,0.22,0.23,0.25,0.36,0.54,0.70,0.77,0.82,0.82,0.82,0.78,0.57,0.37
2014/1/30 上午 12:00:00,0.17,0.05,0.00,-0.01,-0.01,-0.01,0.09,0.18,0.20,0.20,0.20,0.21,0.22,0.26,0.26,0.34,0.53,0.70,0.80,0.84,0.83,0.83,0.74,0.52
2014/1/31 上午 12:00:00,0.34,0.15,0.02,0.00,-0.01,-0.01,0.04,0.15,0.22,0.22,0.22,0.22,0.24,0.25,0.24,0.23,0.36,0.57,0.73,0.81,0.84,0.84,0.84,0.70
2014/2/1 上午 12:00:00,0.48,0.30,0.12,0.04,0.03,0.03,0.03,0.12,0.22,0.25,0.28,0.28,0.28,0.33,0.34,0.32,0.34,0.41,0.61,0.75,0.82,0.84,0.83,0.81
2014/2/2 上午 12:00:00,0.64,0.46,0.31,0.17,0.14,0.14,0.14,0.16,0.26,0.35,0.36,0.40,0.41,0.42,0.40,0.35,0.35,0.34,0.39,0.57,0.66,0.71,0.72,0.71
2014/2/3 上午 12:00:00,0.71,0.58,0.45,0.33,0.22,0.20,0.20,0.20,0.24,0.33,0.41,0.42,0.43,0.42,0.43,0.39,0.34,0.34,0.34,0.36,0.48,0.53,0.58,0.58
2014/2/4 上午 12:00:00,0.58,0.58,0.50,0.40,0.30,0.27,0.26,0.26,0.25,0.31,0.39,0.44,0.43,0.44,0.44,0.42,0.35,0.32,0.32,0.32,0.32,0.37,0.43,0.47
2014/2/5 上午 12:00:00,0.47,0.47,0.47,0.44,0.38,0.34,0.31,0.31,0.31,0.31,0.37,0.46,0.50,0.51,0.52,0.52,0.52,0.49,0.43,0.42,0.42,0.42,0.41,0.41
2014/2/6 上午 12:00:00,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.47,0.59,0.77,0.82,0.77,0.69,0.60,0.52,0.47,0.42,0.42,0.42,0.42
2014/2/7 上午 12:00:00,0.42,0.42,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.47,0.53,0.61,0.62,0.62,0.62,0.57,0.45,0.36,0.31,0.28,0.27
2014/2/8 上午 12:00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.34,0.50,0.54,0.67,0.69,0.70,0.69,0.64,0.52,0.42,0.29,0.22,0.19
